;Kucukcekmece;Bagcilar;Esenyurt;Umraniye;Pendik;Bahcelievler;Uskudar;Sultangazi;Gaziosmanpasa;Maltepe;Kadikoy;Esenler;Kartal;Kagithane;Avcilar;Atasehir;Fatih;Eyup;Sancaktepe;Basaksehir;Sariyer;Sultanbeyli;Gungoren;Zeytinburnu;Beylikduzu;Sisli;Bayrampasa;Beykoz;Beyoglu;Arnavutkoy;Tuzla;Cekmekoy;Buyukcekmece;Bakirkoy;Besiktas;Silivri;Catalca;Sile;Adalar
Kucukcekmece;0;7,44;9,39;26,03;43,52;6,9;21,34;13,77;14,71;32,15;24,78;7,99;34,59;18,99;5,82;27,5;14,13;13,11;36,21;9,31;27,91;40,49;9,18;10,35;11,63;17,67;11,66;30,69;16,44;20,77;48,22;33,62;15,71;8,13;20,7;45,62;31,21;72,37;29,38
Bagcilar;7,44;0;15;19,52;38,96;3,75;14,66;8,29;7,28;27,43;19,28;1,92;30,15;11,56;13,23;21,7;7,7;5,81;29,86;7,28;20,67;34,68;3,2;6,36;18,55;10,38;4,61;23,27;9,72;19,43;44,39;26,97;22,12;6,34;13,56;51,49;35,41;65,19;26,3
Esenyurt;9,39;15;0;34,51;52,87;15,94;29,67;17,33;21,74;41,45;33,83;14,43;43,94;25,46;6,85;36,44;22,6;20,69;44,84;11,48;32,91;49,46;17,68;19,54;5,37;25,16;19,61;37,34;24,72;17,44;57,62;41,97;7,32;17,49;28,45;36,56;21,92;79,8;38,75
Umraniye;26,03;19,52;34,51;0;22,22;19,17;4,89;21,45;13,75;12,04;5,21;20,38;14,94;12,36;31,65;4,42;11,95;14,08;10,35;25,22;16,79;15,64;16,93;16,11;37,65;10,25;14,93;11,42;9,8;34,4;28,95;7,61;41,52;18,83;7,1;71,01;54,41;46,99;16,53
Pendik;43,52;38,96;52,87;22,22;0;37,02;26,3;43,04;35,06;11,53;19,97;40,38;8,93;34,5;48,1;18,27;31,55;34,7;15,57;45,78;37,98;9,96;35,82;33,4;54,54;31,9;34,89;30,64;30,23;56,21;7,26;19,07;59,01;35,4;29,12;88,95;74,28;43,55;15,59
Bahcelievler;6,9;3,75;15,94;19,17;37,02;0;14,55;12,01;9,24;25,55;17,93;5,64;28,11;13,61;12,49;20,61;7,37;7,26;29,31;10,59;23,19;33,62;2,76;3,62;18,53;11,51;5,57;24,72;9,75;22,93;42,07;26,77;22,58;2,62;14,23;52,42;37,3;65,75;23,56
Uskudar;21,34;14,66;29,67;4,89;26,3;14,55;0;16,85;8,98;15,33;6,83;15,5;18,3;8,39;27,03;8,04;7,21;9,2;15,24;20,37;15,25;20,42;12,18;11,76;32,93;5,62;10,06;12,3;4,95;29,95;32,7;12,33;36,72;14,52;3,1;66,14;49,54;51,25;17,93
Sultangazi;13,77;8,29;17,33;21,45;43,04;12,01;16,85;0;8;31,77;23,13;6,56;34,69;9,63;18,68;24,85;12,27;8,76;31,41;5,84;15,6;37,07;10,46;13,83;22,23;11,24;9,34;20,79;12,95;13,18;49,17;27,92;24,53;14,53;14,38;51,69;33,72;63,41;32,32
Gaziosmanpasa;14,71;7,28;21,74;13,75;35,06;9,24;8,98;8;0;23,78;15,13;7,33;26,7;4,39;20,51;16,91;4,99;2,09;23,97;11,54;13,98;29,37;6,52;8,77;25,7;3,57;3,77;15,99;5,02;21,18;41,19;20,71;29,01;10,81;6,92;57,81;40,72;58,1;24,68
Maltepe;32,15;27,43;41,45;12,04;11,53;25,55;15,33;31,77;23,78;0;8,65;28,86;2,97;23,71;36,93;7,65;20,06;23,28;10,92;34,28;28,77;10,5;24,29;21,93;43,35;20,81;23,4;22,52;18,86;44,96;17,42;12,5;47,74;24,03;18,34;77,71;62,76;47,75;7,67
Kadikoy;24,78;19,28;33,83;5,21;19,97;17,93;6,83;23,13;15,13;8,65;0;20,55;11,6;15,21;30,03;2,95;11,67;14,73;12,14;25,87;21,41;15,72;16,25;14,43;36,31;12,18;15,01;16,61;10,25;36,31;26,07;10,86;40,49;16,9;9,91;70,35;54,69;50,2;11,53
Esenler;7,99;1,92;14,43;20,38;40,38;5,64;15,5;6,56;7,33;28,86;20,55;0;31,63;11,3;13,57;22,85;8,88;6,33;30,73;5,53;19,93;35,75;4,92;8,22;18,42;10,73;5,57;23,18;10,65;17,54;45,94;27,69;21,69;8,24;14,04;50,7;34,19;65,43;28,02
Kartal;34,59;30,15;43,94;14,94;8,93;28,11;18,3;34,69;26,7;2,97;11,6;31,63;0;26,68;39,2;10,58;22,88;26,15;12,39;37,08;31,6;10,35;26,98;24,49;45,64;23,77;26,21;25,14;21,75;47,87;14,49;14,59;50,09;26,46;21,3;80,04;65,39;47,7;7,81
Kagithane;18,99;11,56;25,46;12,36;34,5;13,61;8,39;9,63;4,39;23,71;15,21;11,3;26,68;0;24,75;16,27;8,18;6,37;21,92;14,55;9,73;27,76;10,87;12,79;29,7;3,6;8,08;11,91;6,88;22,15;41,03;18,35;32,77;15,05;5,39;61,01;43,32;54,38;25,95
Avcilar;5,82;13,23;6,85;31,65;48,1;12,49;27,03;18,68;20,51;36,93;30,03;13,57;39,2;24,75;0;32,84;19,83;18,93;41,71;13,36;33,46;45,74;14,93;15,67;6,44;23,49;17,47;36,5;22,18;22,8;52,34;39,25;10,99;13,13;26,5;40,86;28,13;78,15;33,36
Atasehir;27,5;21,7;36,44;4,42;18,27;20,61;8,04;24,85;16,91;7,65;2,95;22,85;10,58;16,27;32,84;0;14,01;16,8;9,19;28,03;21,2;13,03;18,78;17,19;39,08;13,66;17,28;15,46;12,29;37,98;24,78;8,11;43,2;19,72;10,88;72,99;57,04;47,28;12,49
Fatih;14,13;7,7;22,6;11,95;31,55;7,37;7,21;12,27;4,99;20,06;11,67;8,88;22,88;8,18;19,83;14,01;0;3,53;22,24;14,23;17,78;26,98;4,98;5,07;25,72;4,97;3,35;17,81;2,4;25,27;37,29;19,51;29,57;7,74;7,03;59,15;43,05;58,38;20,05
Eyup;13,11;5,81;20,69;14,08;34,7;7,26;9,2;8,76;2,09;23,28;14,73;6,33;26,15;6,37;18,93;16,8;3,53;0;24,43;11,24;16,04;29,56;4,51;6,7;24,36;4,58;1,71;17,63;4,51;21,82;40,61;21,36;27,88;8,73;7,77;57,02;40,36;59,38;23,57
Sancaktepe;36,21;29,86;44,84;10,35;15,57;29,31;15,24;31,41;23,97;10,92;12,14;30,73;12,39;21,92;41,71;9,19;22,24;24,43;0;35,49;23,09;6,32;27,2;26,05;47,83;20,41;25,28;15,35;20,14;44,03;22,82;3,84;51,8;28,68;17,11;81,36;64,69;38,21;18,45
Basaksehir;9,31;7,28;11,48;25,22;45,78;10,59;20,37;5,84;11,54;34,28;25,87;5,53;37,08;14,55;13,36;28,03;14,23;11,24;35,49;0;21,43;40,78;10,43;13,62;16,42;15,11;10,88;26,23;15,74;12,37;51,44;32,25;18,71;13,17;18,45;46,46;29,19;68,85;33,54
Sariyer;27,91;20,67;32,91;16,79;37,98;23,19;15,25;15,6;13,98;28,77;21,41;19,93;31,6;9,73;33,46;21,2;17,78;16,04;23,09;21,43;0;29,41;20,49;22,51;37,7;12,86;17,74;8,04;16,07;24,38;45,05;19,27;40,13;24,76;12,49;66,54;47,73;48,77;32,92
Sultanbeyli;40,49;34,68;49,46;15,64;9,96;33,62;20,42;37,07;29,37;10,5;15,72;35,75;10,35;27,76;45,74;13,03;26,98;29,56;6,32;40,78;29,41;0;31,8;30,15;52,03;25,89;30,2;21,65;25,11;49,91;17,12;10,15;56,2;32,61;22,69;86,02;69,92;37,39;17,92
Gungoren;9,18;3,2;17,68;16,93;35,82;2,76;12,18;10,46;6,52;24,29;16,25;4,92;26,98;10,87;14,93;18,78;4,98;4,51;27,2;10,43;20,49;31,8;0;3,4;20,75;8,77;2,81;21,98;7,27;22,41;41,2;24,49;24,6;4,47;11,6;54,24;38,49;63,22;23,12
Zeytinburnu;10,35;6,36;19,54;16,11;33,4;3,62;11,76;13,83;8,77;21,93;14,43;8,22;24,49;12,79;15,67;17,19;5,07;6,7;26,05;13,62;22,51;30,15;3,4;0;21,89;9,94;5,15;22,88;7,39;25,76;38,48;23,71;26,06;2,76;12,06;55,96;40,92;62,98;20,07
Beylikduzu;11,63;18,55;5,37;37,65;54,54;18,53;32,93;22,23;25,7;43,35;36,31;18,42;45,64;29,7;6,44;39,08;25,72;24,36;47,83;16,42;37,7;52,03;20,75;21,89;0;28,93;23,06;41,6;28;22,62;58,76;45,23;4,66;19,45;32,1;34,42;22,5;83,74;39,77
Sisli;17,67;10,38;25,16;10,25;31,9;11,51;5,62;11,24;3,57;20,81;12,18;10,73;23,77;3,6;23,49;13,66;4,97;4,58;20,41;15,11;12,86;25,89;8,77;9,94;28,93;0;6,05;13,21;3,3;24,33;38,22;17,14;32,39;12,46;3,35;61,34;44,28;54,81;22,52
Bayrampasa;11,66;4,61;19,61;14,93;34,89;5,57;10,06;9,34;3,77;23,4;15,01;5,57;26,21;8,08;17,47;17,28;3,35;1,71;25,28;10,88;17,74;30,2;2,81;5,15;23,06;6,05;0;19,22;5,14;22,11;40,61;22,37;26,71;7,04;9,05;56,08;39,76;60,73;23,13
Beykoz;30,69;23,27;37,34;11,42;30,64;24,72;12,3;20,79;15,99;22,52;16,61;23,18;25,14;11,91;36,5;15,46;17,81;17,63;15,35;26,23;8,04;21,65;21,98;22,88;41,6;13,21;19,22;0;15,51;31,53;37,84;11,62;44,66;25,53;10,87;72,48;54,24;42,64;27,9
Beyoglu;16,44;9,72;24,72;9,8;30,23;9,75;4,95;12,95;5,02;18,86;10,25;10,65;21,75;6,88;22,18;12,29;2,4;4,51;20,14;15,74;16,07;25,11;7,27;7,39;28;3,3;5,14;15,51;0;26,12;36,23;17,28;31,77;10,1;4,67;61,21;44,81;56;19,73
Arnavutkoy;20,77;19,43;17,44;34,4;56,21;22,93;29,95;13,18;21,18;44,96;36,31;17,54;47,87;22,15;22,8;37,98;25,27;21,82;44,03;12,37;24,38;49,91;22,41;25,76;22,62;24,33;22,11;31,53;26,12;0;62,35;40,39;22,3;25,52;27,31;43,21;23,79;73,05;45,23
Tuzla;48,22;44,39;57,62;28,95;7,26;42,07;32,7;49,17;41,19;17,42;26,07;45,94;14,49;41,03;52,34;24,78;37,29;40,61;22,82;51,44;45,05;17,12;41,2;38,48;58,76;38,22;40,61;37,84;36,23;62,35;0;26,3;63,34;40,18;35,64;93,1;79,33;47,66;18,99
Cekmekoy;33,62;26,97;41,97;7,61;19,07;26,77;12,33;27,92;20,71;12,5;10,86;27,69;14,59;18,35;39,25;8,11;19,51;21,36;3,84;32,25;19,27;10,15;24,49;23,71;45,23;17,14;22,37;11,62;17,28;40,39;26,3;0;49,05;26,42;13,8;78,39;61,4;39,54;19,44
Buyukcekmece;15,71;22,12;7,32;41,52;59,01;22,58;36,72;24,53;29,01;47,74;40,49;21,69;50,09;32,77;10,99;43,2;29,57;27,88;51,8;18,71;40,13;56,2;24,6;26,06;4,66;32,39;26,71;44,66;31,77;22,3;63,34;49,05;0;23,74;35,65;29,96;18,08;87,1;44,35
Bakirkoy;8,13;6,34;17,49;18,83;35,4;2,62;14,52;14,53;10,81;24,03;16,9;8,24;26,46;15,05;13,13;19,72;7,74;8,73;28,68;13,17;24,76;32,61;4,47;2,76;19,45;12,46;7,04;25,53;10,1;25,52;40,18;26,42;23,74;0;14,76;53,7;39,17;65,74;21,45
Besiktas;20,7;13,56;28,45;7,1;29,12;14,23;3,1;14,38;6,92;18,34;9,91;14,04;21,3;5,39;26,5;10,88;7,03;7,77;17,11;18,45;12,49;22,69;11,6;12,06;32,1;3,35;9,05;10,87;4,67;27,31;35,64;13,8;35,65;14,76;0;64,68;47,62;51,68;20,99
Silivri;45,62;51,49;36,56;71,01;88,95;52,42;66,14;51,69;57,81;77,71;70,35;50,7;80,04;61,01;40,86;72,99;59,15;57,02;81,36;46,46;66,54;86,02;54,24;55,96;34,42;61,34;56,08;72,48;61,21;43,21;93,1;78,39;29,96;53,7;64,68;0;19,66;115,07;74,12
Catalca;31,21;35,41;21,92;54,41;74,28;37,3;49,54;33,72;40,72;62,76;54,69;34,19;65,39;43,32;28,13;57,04;43,05;40,36;64,69;29,19;47,73;69,92;38,49;40,92;22,5;44,28;39,76;54,24;44,81;23,79;79,33;61,4;18,08;39,17;47,62;19,66;0;96,49;60,58
Sile;72,37;65,19;79,8;46,99;43,55;65,75;51,25;63,41;58,1;47,75;50,2;65,43;47,7;54,38;78,15;47,28;58,38;59,38;38,21;68,85;48,77;37,39;63,22;62,98;83,74;54,81;60,73;42,64;56;73,05;47,66;39,54;87,1;65,74;51,68;115,07;96,49;0;55,3
Adalar;29,38;26,3;38,75;16,53;15,59;23,56;17,93;32,32;24,68;7,67;11,53;28,02;7,81;25,95;33,36;12,49;20,05;23,57;18,45;33,54;32,92;17,92;23,12;20,07;39,77;22,52;23,13;27,9;19,73;45,23;18,99;19,44;44,35;21,45;20,99;74,12;60,58;55,3;0
